pitcher,pitch_types,years,best_k,best_metric,n_years,n_pitches,weighted_f1
"Miller, Mason","FF,SL,CH,FC","[2023, 2024, 2025]",6,manhattan,3,2512,0.994
"deGrom, Jacob","FF,SL,CH,SI,CU","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,manhattan,10,17403,0.982
"McKenzie, Triston","FF,SL,CU,CH","[2020, 2021, 2022, 2023, 2024, 2025]",9,manhattan,6,6893,0.973
"Sánchez, Cristopher","SI,CH,SL","[2021, 2022, 2023, 2024, 2025]",5,manhattan,5,8003,0.97
"Verlander, Justin","FF,SL,CU,CH,ST,FC","[2016, 2017, 2018, 2019, 2022, 2023, 2024, 2025]",2,manhattan,8,24506,0.958
"Gausman, Kevin","FF,FS,SL,CH,SI","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",6,manhattan,10,26386,0.954
"Scherzer, Max","FF,SL,CH,CU,FC","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",7,manhattan,10,23801,0.951
"Detmers, Reid","FF,SL,CU,CH,SI,ST","[2021, 2022, 2023, 2024, 2025]",11,manhattan,5,7414,0.933
"Gilbert, Logan","FF,SL,FS,KC,CU,CH,FC,SI","[2021, 2022, 2023, 2024, 2025]",2,manhattan,5,13106,0.92
"Cease, Dylan","FF,SL,KC,CH,ST,SI","[2019, 2020, 2021, 2022, 2023, 2024, 2025]",5,manhattan,7,17614,0.919
"Pepiot, Ryan","FF,CH,SL,FC,CU,SI","[2022, 2023, 2024, 2025]",6,manhattan,4,5808,0.916
"Houck, Tanner","SI,SL,ST,FS,FF,FC","[2020, 2021, 2022, 2023, 2024, 2025]",9,manhattan,6,7182,0.914
"Ober, Bailey","FF,CH,SL,ST,CU,SI","[2021, 2022, 2023, 2024, 2025]",3,manhattan,5,9403,0.902
"Sale, Chris","SL,FF,SI,CH","[2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",11,manhattan,9,18930,0.898
"Anderson, Tyler","FF,CH,FC,SI,CU,SL","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,manhattan,10,19608,0.896
"Cole, Gerrit","FF,SL,KC,CH,SI,FC","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",5,manhattan,9,24868,0.888
"Kershaw, Clayton","FF,SL,CU,FS,CH,SI","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",6,manhattan,10,19009,0.887
"Webb, Logan","SI,CH,ST,FF,FC","[2019, 2020, 2021, 2022, 2023, 2024, 2025]",6,manhattan,7,16002,0.848
"Sears, JP","FF,ST,CH,SL,SI,CU","[2022, 2023, 2024, 2025]",11,manhattan,4,8866,0.815
"Burnes, Corbin","FC,CU,SL,CH,SI,FF,ST","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,manhattan,8,15023,0.803
"Nola, Aaron","FF,KC,SI,CH,FC,CU","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",3,manhattan,10,26004,0.779
"Glasnow, Tyler","FF,CU,SL,SI,CH","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",2,manhattan,10,12565,0.773
"Crochet, Garrett","FF,FC,ST,SI,CH,SL","[2020, 2021, 2023, 2024, 2025]",4,manhattan,5,6766,0.77
"Wheeler, Zack","FF,SI,FC,CU,ST,CH,FS","[2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,manhattan,9,23109,0.754
"Darvish, Yu","FF,SL,ST,SI,FC,CU,FS,KC,CH","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",7,manhattan,10,19415,0.748
"Miller, Bryce","FF,SI,FS,SL,ST,KC,CH,FC","[2023, 2024, 2025]",11,manhattan,3,6286,0.747
"Skubal, Tarik","FF,CH,SL,SI,CU,FS","[2020, 2021, 2022, 2023, 2024, 2025]",5,manhattan,6,12070,0.732
"Mikolas, Miles","FF,SL,SI,CU,CH,ST,CS","[2018, 2019, 2021, 2022, 2023, 2024, 2025]",11,manhattan,7,17692,0.72
"Skenes, Paul","FF,FS,ST,CH,CU,SI,SL","[2024, 2025]",7,manhattan,2,4944,0.718
"Buehler, Walker","FF,FC,KC,SI,SL,ST,CH","[2017, 2018, 2019, 2020, 2021, 2022, 2024, 2025]",4,manhattan,8,14371,0.711
"Suarez, Ranger","SI,CH,FF,CU,FC,SL","[2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",3,manhattan,8,12077,0.71
"Singer, Brady","SI,SL,FF,CH,ST,FC","[2020, 2021, 2022, 2023, 2024, 2025]",3,manhattan,6,13675,0.683
"Gibson, Kyle","SI,FF,CH,SL,CU,FC,ST","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,manhattan,10,22469,0.683
"Walker, Taijuan","FF,FS,SI,FC,CU,SL,ST","[2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025]",4,manhattan,9,16717,0.648
"Almonte, Yency","FF,ST,SL,SI,CH,FC","[2018, 2019, 2020, 2021, 2022, 2023, 2024]",6,manhattan,7,3531,0.631
"Kirby, George","FF,SI,SL,KC,FS,CH,FC","[2022, 2023, 2024, 2025]",3,manhattan,4,10031,0.626
"Pfaadt, Brandon","FF,ST,SI,CH,CU,FC","[2023, 2024, 2025]",4,manhattan,3,7371,0.619
"Lugo, Seth","FF,CU,SI,SL,CH,FC,SV,ST,CS,FS","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",7,manhattan,10,15426,0.538
"Manaea, Sean","SI,FF,CH,SL,ST,FC","[2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",11,manhattan,10,19398,0.326
